outgroup,Sorex_araneus
outgroup,Myotis_myotis
outgroup,Panthera_onca
outgroup,Bubalus_bubalis
outgroup,Tapirus_terrestris
Lagomorpha,Ochotona_princeps
Lagomorpha,Oryctolagus_cuniculus
Lagomorpha,Lepus_americanus
Scandentia,Tupaia_tana
Scandentia,Tupaia_belangeri
Scandentia,Tupaia_chinensis
Rodentia,Mus_musculus
Rodentia,Ellobius_lutescens
Rodentia,Cricetomys_gambianus
Rodentia,Nannospalax_galili
Rodentia,Zapus_hudsonius
Rodentia,Dipodomys_ordii
Rodentia,Castor_canadensis
Rodentia,Marmota_marmota
Rodentia,Aplodontia_rufa
Rodentia,Glis_glis
Rodentia,Cavia_tschudii
Rodentia,Dasyprocta_punctata
Rodentia,Cuniculus_paca
Rodentia,Capromys_pilorides
Rodentia,Myocastor_coypus
Rodentia,Ctenomys_sociabilis
Rodentia,Octodon_degus
Rodentia,Dinomys_branickii
Rodentia,Chinchilla_lanigera
Rodentia,Fukomys_damarensis
Rodentia,Thryonomys_swinderianus
Rodentia,Petromus_typicus
Rodentia,Hystrix_cristata
Rodentia,Ctenodactylus_gundi
Dermoptera,Galeopterus_variegatus
Primates,Nycticebus_coucang
Primates,Otolemur_garnettii
Primates,Daubentonia_madagascariensis
Primates,Eulemur_flavifrons
Primates,Propithecus_coquereli
Primates,Microcebus_murinus
Primates,Pithecia_pithecia
Primates,Alouatta_palliata
Primates,Aotus_nancymaae
Primates,Callithrix_jacchus
Primates,Nomascus_leucogenys
Primates,Pongo_abelii
Primates,Homo_sapiens
Primates,Macaca_nemestrina
